,ADYEY,AFRM,ALKT,AVLR,BILL,BTRS,BL,BHG,CLOV,COIN,COMP,DLO,DOMA,DCT,ENV,EVER,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,ROOT,SEZNL,SHOP,SOFI,SQ,STNE,UPST,VIRT,XROLF,HOOD,BLND,WPLCF,TOST,RELY,BKKT,NRDS,NU,AVDX,DAVE,EXFY
2015-01-02,,,,,,,,,,,,,,,1674518750.0,,13742335280.0,,,1040022989.9999999,,,,,,,,,5556852890.0,,,,,,,,,,,646391190.0,,,,,,,,,,1330633762.7482555,,,,,,,,,,,
2015-01-05,,,,,,,,,,,,,,,1648418780.0,,13149693640.0,,,1023149460.0,,,,,,,,,5488413300.0,,,,,,,,,,,645364630.0,,,,,,,,,,1326360695.1154053,,,,,,,,,,,
2015-01-06,,,,,,,,,,,,,,,1614763570.0,,13009764370.0,,,1019570230.0,,,,,,,,,5390390150.0,,,,,,,,,,,626544340.0,,,,,,,,,,1316105327.428878,,,,,,,,,,,
2015-01-07,,,,,,,,,,,,,,,1670397700.0,,13097563130.0,,,1017524950.0,,,,,,,,,5379793050.0,,,,,,,,,,,639889630.0,,,,,,,,,,1329779146.537842,,,,,,,,,,,
2015-01-08,,,,,,,,,,,,,,,1722254210.0,,13363703120.0,,,1036443760.0000001,,,,,,,,,5460154370.0,,,,,,,,,,,662816160.0,,,,,,,,,,1340889130.4347825,,,,,,,,,,,
2015-01-09,,,,,,,,,,,,,,,1738051560.0,,13128658520.0,,,1019058910.0,,,,,,,,,5399662610.0,,,,,,,,,,,652550550.0,,,,,,,,,,1350289881.9108963,,,,,,,,,,,
2015-01-12,,,,,,,,,,,,,,,1720537110.0,,12932940450.0,,,1021615500.0,,,,,,,,,5310911920.0,,,,,,,,,,,652550550.0,,,,,,,,,,1339179898.0139558,,,,,,,,,,,
2015-01-13,,,,,,,,,,,,,,,1751788380.0,,12974096120.0,,,1020592860.0,,,,,,,,,5297665550.0,,,,,,,,,,,633730270.0,,,,,,,,,,1311832259.796028,,,,,,,,,,,
2015-01-14,,,,,,,,,,,,,,,1732213410.0,,12784780040.0,,,1014968350.0,,,,,,,,,5233641420.0,,,,,,,,,,,646391190.0,,,,,,,,,,1311832259.796028,,,,,,,,,,,
2015-01-15,,,,,,,,,,,,,,,1676235850.0,,12591805680.0,,,966904360.0,,,,,,,,,5161227920.0,,,,,,,,,,,621411540.0,,,,,,,,,,1290466914.9221685,,,,,,,,,,,
2015-01-16,,,,,,,,,,,,,,,1773423880.0,,12778378050.0,,,997583510.0,,,,,,,,,5268523530.0,,,,,,,,,,,634756830.0,,,,,,,,,,1324114633.6553946,,,,,,,,,,,
2015-01-19,,,,,,,,,,,,,,,1773423880.0,,12778378050.0,,,997583510.0,,,,,,,,,5268523530.0,,,,,,,,,,,634756830.0,,,,,,,,,,1311292351.0466988,,,,,,,,,,,
2015-01-20,,,,,,,,,,,,,,,1776171240.0,,12531444030.0,,,1030307930.0,,,,,,,,,5408051980.0,,,,,,,,,,,632019330.0,,,,,,,,,,1295905609.2324207,,,,,,,,,,,
2015-01-21,,,,,,,,,,,,,,,1749727860.0,,12566197710.0,,,1015990990.0,,,,,,,,,5435207040.0,,,,,,,,,,,624833410.0,,,,,,,,,,1273680314.009662,,,,,,,,,,,
2015-01-22,,,,,,,,,,,,,,,1796433050.0,,12935684160.0,,,1023149460.0,,,,,,,,,5548463520.0,,,,,,,,,,,615594360.0,,,,,,,,,,1278809225.7112184,,,,,,,,,,,
2015-01-23,,,,,,,,,,,,,,,1816694870.0,,13074698870.0,,,1021104180.0,,,,,,,,,5620435470.0,,,,,,,,,,,602591250.0,,,,,,,,,,1319840539.452496,,,,,,,,,,,
2015-01-26,,,,,,,,,,,,,,,1815664610.0,,13089331990.0,,,1019570230.0,,,,,,,,,5630149480.0,,,,,,,,,,,610119370.0,,,,,,,,,,1319840539.452496,,,,,,,,,,,
2015-01-27,,,,,,,,,,,,,,,1796089630.0,,12874407940.0,,,1012923080.0,,,,,,,,,5654876040.0,,,,,,,,,,,605670940.0,,,,,,,,,,1278809225.7112184,,,,,,,,,,,
